device_id,humidity,light,raw,temperature,time
device_001,61,80.83,NjEtMzAtODAuODM=,30,2019-06-01T07:58:45.680484379Z
device_001,61,80.83,NjEtMzAtODAuODM=,30,2019-06-01T07:59:00.536095027Z
device_001,61,80.83,NjEtMzAtODAuODM=,30,2019-06-01T07:59:15.910865591Z
device_001,63,86.67,NjMtMzAtODYuNjc=,30,2019-06-01T07:59:30.769393652Z
device_001,61,86.67,NjEtMzAtODYuNjc=,30,2019-06-01T07:59:45.624106196Z
device_001,61,85.83,NjEtMzAtODUuODM=,30,2019-06-01T08:00:00.494921614Z
device_001,61,85.83,NjEtMzAtODUuODM=,30,2019-06-01T08:00:15.873171394Z
device_001,62,82.5,NjItMzAtODIuNTA=,30,2019-06-01T08:00:30.740358496Z
device_001,62,75,NjItMzAtNzUuMDA=,30,2019-06-01T08:00:45.595648242Z
device_001,61,71.67,NjEtMzAtNzEuNjc=,30,2019-06-01T08:01:00.950623313Z
device_001,62,77.5,NjItMzAtNzcuNTA=,30,2019-06-01T08:01:15.805686858Z
device_001,63,72.5,NjMtMzAtNzIuNTA=,30,2019-06-01T08:01:30.659206696Z
device_001,62,68.33,NjItMzAtNjguMzM=,30,2019-06-01T08:01:45.522734881Z
device_001,62,64.17,NjItMzAtNjQuMTc=,30,2019-06-01T08:02:00.878669057Z
device_001,62,77.5,NjItMzAtNzcuNTA=,30,2019-06-01T08:02:15.813001571Z
device_001,62,76.67,NjItMzAtNzYuNjc=,30,2019-06-01T08:02:30.627588428Z
device_001,63,80.83,NjMtMzAtODAuODM=,30,2019-06-01T08:02:45.979546985Z
device_001,63,75,NjMtMzAtNzUuMDA=,30,2019-06-01T08:03:00.835701636Z
device_001,63,73.33,NjMtMzAtNzMuMzM=,30,2019-06-01T08:03:15.691807985Z
device_001,62,65.83,NjItMzAtNjUuODM=,30,2019-06-01T08:03:45.880571503Z
device_001,61,51.67,NjEtMzAtNTEuNjc=,30,2019-06-01T08:04:00.728897917Z
device_001,61,65,NjEtMzAtNjUuMDA=,30,2019-06-01T08:04:15.57720633Z
device_001,61,61.67,NjEtMzAtNjEuNjc=,30,2019-06-01T08:04:30.927125879Z
device_001,63,61.67,NjMtMzAtNjEuNjc=,30,2019-06-01T08:04:45.778284606Z
device_001,61,61.67,NjEtMzAtNjEuNjc=,30,2019-06-01T08:05:00.637707171Z
device_001,62,60.83,NjItMzEtNjAuODM=,31,2019-06-01T08:05:15.97706137Z
device_001,62,61.67,NjItMzEtNjEuNjc=,31,2019-06-01T08:05:30.843612969Z
device_001,62,61.67,NjItMzEtNjEuNjc=,31,2019-06-01T08:05:45.677406815Z
device_001,62,60.83,NjItMzEtNjAuODM=,31,2019-06-01T08:06:01.02875487Z
device_001,62,60.83,NjItMzEtNjAuODM=,31,2019-06-01T08:06:15.878184888Z
device_001,62,60.83,NjItMzEtNjAuODM=,31,2019-06-01T08:06:30.727419806Z
device_001,62,39.17,NjItMzEtMzkuMTc=,31,2019-06-01T08:06:45.578147831Z
device_001,62,60.83,NjItMzEtNjAuODM=,31,2019-06-01T08:07:00.929690087Z
device_001,62,61.67,NjItMzEtNjEuNjc=,31,2019-06-01T08:07:15.778479503Z
device_001,62,61.67,NjItMzEtNjEuNjc=,31,2019-06-01T08:07:30.628663925Z
device_001,63,61.67,NjMtMzEtNjEuNjc=,31,2019-06-01T08:07:45.9842172Z
device_001,62,61.67,NjItMzEtNjEuNjc=,31,2019-06-01T08:08:00.827895592Z
device_001,63,65,NjMtMzEtNjUuMDA=,31,2019-06-01T08:08:15.708575656Z
device_001,62,45,NjItMzEtNDUuMDA=,31,2019-06-01T08:08:31.03168398Z
device_001,62,35.83,NjItMzEtMzUuODM=,31,2019-06-01T08:08:45.879248391Z
device_001,62,64.17,NjItMzEtNjQuMTc=,31,2019-06-01T08:09:00.728408808Z
device_001,62,67.5,NjItMzEtNjcuNTA=,31,2019-06-01T08:09:16.081655272Z
device_001,62,38.33,NjItMzEtMzguMzM=,31,2019-06-01T08:09:30.927212173Z
device_001,62,37.5,NjItMzEtMzcuNTA=,31,2019-06-01T08:09:45.7782326Z
device_001,62,32.5,NjItMzEtMzIuNTA=,31,2019-06-01T08:10:00.632101939Z
device_001,62,56.67,NjItMzEtNTYuNjc=,31,2019-06-01T08:10:15.977271466Z
device_001,62,55,NjItMzEtNTUuMDA=,31,2019-06-01T08:10:30.827984791Z
device_001,62,54.17,NjItMzEtNTQuMTc=,31,2019-06-01T08:10:45.679242718Z
device_001,62,53.33,NjItMzEtNTMuMzM=,31,2019-06-01T08:11:01.027553759Z
device_001,62,55.83,NjItMzEtNTUuODM=,31,2019-06-01T08:11:15.877783882Z
device_001,62,58.33,NjItMzEtNTguMzM=,31,2019-06-01T08:11:30.740296362Z
device_001,62,60,NjItMzEtNjAuMDA=,31,2019-06-01T08:11:46.078022954Z
device_001,62,58.33,NjItMzEtNTguMzM=,31,2019-06-01T08:12:00.928854279Z
device_001,63,46.67,NjMtMzEtNDYuNjc=,31,2019-06-01T08:12:15.777470295Z
device_001,62,59.17,NjItMzEtNTkuMTc=,31,2019-06-01T08:12:31.135160379Z
device_001,62,23.33,NjItMzEtMjMuMzM=,31,2019-06-01T08:12:45.978142468Z
device_001,62,60.83,NjItMzEtNjAuODM=,31,2019-06-01T08:13:00.831043804Z
device_001,63,60.83,NjMtMzEtNjAuODM=,31,2019-06-01T08:13:15.680264522Z
device_001,62,54.17,NjItMzEtNTQuMTc=,31,2019-06-01T08:13:31.027026656Z
device_001,62,55,NjItMzEtNTUuMDA=,31,2019-06-01T08:13:45.877459279Z
device_001,62,58.33,NjItMzEtNTguMzM=,31,2019-06-01T08:14:00.729986913Z
device_001,63,50.83,NjMtMzEtNTAuODM=,31,2019-06-01T08:14:16.09244562Z
device_001,63,48.33,NjMtMzEtNDguMzM=,31,2019-06-01T08:14:30.927788373Z
device_001,62,50.83,NjItMzAtNTAuODM=,30,2019-06-01T08:14:46.284597954Z
device_001,62,34.17,NjItMzAtMzQuMTc=,30,2019-06-01T08:15:01.134337874Z
device_001,62,60,NjItMzAtNjAuMDA=,30,2019-06-01T08:15:16.494688471Z
